position,first_name,last_name,rider_id,team_name,time_seconds
114,Vito,Brant,,Intermarche - Wanty,14077
115,Laurence,Pithie,,Red Bull - Bora - hansgrohe,14084
116,Simone,Consonni,,Lidl - Trek,14084
117,Mattis,Cattaneo,22,Soudal - Quick Step,14099
118,Victor,Campenaerts,16,Team Visma Lease a Bike,14110
119,Sepp,Kuss,11,Team Visma Lease a Bike,14030
120,Gianni,Moscon,140,Red Bull - Bora - hansgrohe,14125
121,Mick,van Dijke,,Red Bull - Bora - hansgrohe,14125
122,Ion,Izagirre,,Cofidis,14125
123,Marc,Soler,6,UAE Team Emirates - XRG,14137
124,Kamil,Gradek,63,Bahrain - Victorious,14137
125,Nils,Politt,4,UAE Team Emirates - XRG,14309
126,Andreas,Leknessund,,Uno-X Mobility,14309
127,Anders,Johannessen,,Uno-X Mobility,14309
128,Quentin,Pacher,54,Groupama - FDJ,14309
129,Harold,Tejada,141,XDS Astana Team,14309
130,Bruno,Armirail,,Decathlon AG2R La Mondiale Team,14309
131,Sebastian,Grignard,,Lotto,14309
132,Mathis,le Berre,,Arkea - B&B Hotels,14309
133,Thyme+,Arensman,,INEOS Grenadiers,14309
134,Jonas,Rutsch,160,Intermarche - Wanty,14309
135,Eduardo,Sepulveda,,Lotto,14309
136,Georg,Zimmermann,161,Intermarche - Wanty,14309
137,Gregor,Muehlberger,,Movistar Team,14309
138,Benjamin,Thomas,165,Cofidis,14309
139,Einar,Rubio,,Movistar Team,14309
140,Cristian,Rodriguez,35,Arkea - B&B Hotels,14309
141,Frank,van den Brook,,Team Picnic PostNL,14309
142,Quinn,Simmons,86,Lidl - Trek,14309
143,Tim,Naberman,,Team Picnic PostNL,14309
144,Sergio,Higuita,,XDS Astana Team,14309
145,Clement,Champoussin,,XDS Astana Team,14309
146,Laurenz,Rex,159,Intermarche - Wanty,14309
147,Pablo,Castrillo,,Movistar Team,14309
148,Raul,Garcia Pierna,109,Arkea - B&B Hotels,14309
149,Romain,Gregoire,173,Groupama - FDJ,14309
150,Ewen,Costiou,,Arkea - B&B Hotels,14309
151,Valentin,Paret-Peintre,,Soudal - Quick Step,14309
152,Emilien,Jeanniere,,TotalEnergies,14309
153,Michael,Storer,56,Tudor Pro Cycling Team,14309
154,Edward,Dunbar,101,Team Jayco AlUla,14309
155,Pavel,Sivakov,5,UAE Team Emirates - XRG,14309
156,Adam,Yates,8,UAE Team Emirates - XRG,14309
157,Emiel,Verstrynge,,Alpecin-Deceuninck,14309
158,Jake,Stewart,,Israel - Premier Tech,14309
159,Alexey,Lutsenko,137,Israel - Premier Tech,14309
160,Ben,O'Connor,,Team Jayco AlUla,13991
161,Mauro,Schmid,104,Team Jayco AlUla,14318
162,Marijn,van den Berg,171,EF Education-EasyPost,13991
163,Luke,Durbridge,,Team Jayco AlUla,14382
164,Simon,Yates,170,Team Visma Lease a Bike,14382
165,Axel,Laurance,118,INEOS Grenadiers,14382
166,Silvan,Dillier,68,Alpecin-Deceuninck,14382
167,Michael,Woods,89,Israel - Premier Tech,14382
168,Simone,Velasco,142,XDS Astana Team,14382
169,Maximilian,Schachmann,183,Soudal - Quick Step,14382
170,Lucas,Plapp,100,Team Jayco AlUla,14382
171,Yevgeniy,Fedorov,,XDS Astana Team,14382
172,Cees,Bol,139,XDS Astana Team,14382
173,Julian,Alaphilippe,18,Tudor Pro Cycling Team,14382
174,Ro&,van Sintmaartensdijk,162,Intermarche - Wanty,14382
175,Louis,Barre,156,Intermarche - Wanty,14382
176,Ivan,Romeo,,Movistar Team,14382
177,William,Barta,,Movistar Team,14382
178,Mathieu,Burgaudeau,,TotalEnergies,14382
179,Matteo,Vercher,,TotalEnergies,14382
180,Thibau,Nys,,Lidl - Trek,14382
181,Lewis,Askey,,Groupama - FDJ,14382
182,Lenny,Martinez,,Bahrain - Victorious,14542
