position,first_name,last_name,rider_id,team_name,time_seconds
112,Toms,Skujins,70,Lidl - Trek,14077
113,Edward,Theuns,72,Lidl - Trek,14077
114,Vito,Braet,35,Intermarche - Wanty,14077
115,Laurence,Pithie,61,Red Bull - Bora - hansgrohe,14084
116,Simone,Consonni,66,Lidl - Trek,14084
117,Mattia,Cattaneo,18,Soudal - Quick Step,14099
118,Victor,Campenaerts,12,Team Visma Lease a Bike,14110
119,Sepp,Kuss,14,Team Visma Lease a Bike,14030
120,Gianni,Moscon,60,Red Bull - Bora - hansgrohe,14125
121,Mick,van Dijke,62,Red Bull - Bora - hansgrohe,14125
122,Ion,Izagirre,132,Cofidis,14125
123,Marc,Soler,6,UAE Team Emirates - XRG,14137
124,Kamil,Gradek,43,Bahrain - Victorious,14137
125,Nils,Politt,4,UAE Team Emirates - XRG,14309
126,Andreas,Leknessund,183,Uno-X Mobility,14309
127,Anders Halland,Johannessen,182,Uno-X Mobility,14309
128,Quentin,Pacher,78,Groupama - FDJ,14309
129,Harold,Tejada,137,XDS Astana Team,14309
130,Bruno,Armirail,122,Decathlon AG2R La Mondiale Team,14309
131,Sebastien,Grignard,173,Lotto,14309
132,Mathis,le Berre,110,Arkea - B&B Hotels,14309
133,Thymen,Arensman,50,INEOS Grenadiers,14309
134,Jonas,Rutsch,38,Intermarche - Wanty,14309
135,Eduardo,Sepulveda,174,Lotto,14309
136,Georg,Zimmermann,40,Intermarche - Wanty,14309
137,Gregor,Muhlberger,118,Movistar Team,14309
138,Benjamin,Thomas,135,Cofidis,14309
139,Einer,Rubio,120,Movistar Team,14309
140,Cristian,Rodriguez,111,Arkea - B&B Hotels,14309
141,Frank,Van Den Broek,160,Team Picnic PostNL,14309
142,Quinn,Simmons,68,Lidl - Trek,14309
143,Tim,Naberman,159,Team Picnic PostNL,14309
144,Sergio,Higuita,142,XDS Astana Team,14309
145,Clement,Champoussin,140,XDS Astana Team,14309
146,Laurenz,Rex,37,Intermarche - Wanty,14309
147,Pablo,Castrillo,115,Movistar Team,14309
148,Raul,Garcia Pierna,109,Arkea - B&B Hotels,14309
149,Romain,Gregoire,76,Groupama - FDJ,14309
150,Ewen,Costiou,107,Arkea - B&B Hotels,14309
151,Valentin,Paret-Peintre,21,Soudal - Quick Step,14309
152,Emilien,Jeanniere,149,TotalEnergies,14309
153,Michael,Storer,95,Tudor Pro Cycling Team,14309
154,Eddie,Dunbar,98,Team Jayco AlUla,14309
155,Pavel,Sivakov,5,UAE Team Emirates - XRG,14309
156,Adam,Yates,8,UAE Team Emirates - XRG,14309
157,Emiel,Verstrynge,88,Alpecin-Deceuninck,14309
158,Jake,Stewart,168,Israel - Premier Tech,14309
159,Alexey,Lutsenko,166,Israel - Premier Tech,14309
160,Ben,O'Connor,97,Team Jayco AlUla,13991
161,Mauro,Schmid,104,Team Jayco AlUla,14318
162,Marijn,van den Berg,32,EF Education-EasyPost,13991
163,Luke,Durbridge,99,Team Jayco AlUla,14382
164,Simon,Yates,16,Team Visma Lease a Bike,14382
165,Axel,Laurance,53,INEOS Grenadiers,14382
166,Silvan,Dillier,82,Alpecin-Deceuninck,14382
167,Michael,Woods,161,Israel - Premier Tech,14382
168,Simone,Velasco,144,XDS Astana Team,14382
169,Maximilian,Schachmann,22,Soudal - Quick Step,14382
170,Luke,Plapp,102,Team Jayco AlUla,14382
171,Yevgeniy,Fedorov,141,XDS Astana Team,14382
172,Cees,Bol,139,XDS Astana Team,14382
173,Julian,Alaphilippe,89,Tudor Pro Cycling Team,14382
174,Roel,van Sintmaartensdijk,39,Intermarche - Wanty,14382
175,Louis,Barre,34,Intermarche - Wanty,14382
176,Ivan,Romeo,119,Movistar Team,14382
177,Will,Barta,114,Movistar Team,14382
178,Mathieu,Burgaudeau,146,TotalEnergies,14382
179,Matteo,Vercher,152,TotalEnergies,14382
180,Thibau,Nys,67,Lidl - Trek,14382
181,Lewis,Askey,74,Groupama - FDJ,14382
182,Lenny,Martinez,45,Bahrain - Victorious,14542
