start_number,first_name,last_name,team_name
167,Benjamin,Thomas,Cofidis
168,Damien,Touze,Cofidis
171,Harold,Tejada,XDS Astana Team
172,Davide,Ballerini,XDS Astana Team
173,Cees,Bol,XDS Astana Team
174,Clement,Champoussin,XDS Astana Team
175,Yevgeniy,Fedorov,XDS Astana Team
176,Sergio,Higuita,XDS Astana Team
177,Mike,Teunissen,XDS Astana Team
178,Simone,Velasco,XDS Astana Team
181,Steff,Cras,TotalEnergies
182,Mathieu,Burgaudeau,TotalEnergies
183,Alexandre,Delettre,TotalEnergies
184,Thomas,Gachignard,TotalEnergies
185,Emilien,Jeanniere,TotalEnergies
186,Jordan,Jegat,TotalEnergies
187,Anthony,Turgis,TotalEnergies
188,Matteo,Vercher,TotalEnergies
191,Oscar,Onley,Team Picnic PostNL
192,Warren,Barguil,Team Picnic PostNL
193,Pavel,Bittner,Team Picnic PostNL
194,Sean,Flynn,Team Picnic PostNL
195,Tobias Lund,Andresen,Team Picnic PostNL
196,Niklas,Markl,Team Picnic PostNL
197,Tim,Naberman,Team Picnic PostNL
198,Frank,Van Den Broek,Team Picnic PostNL
201,Michael,Woods,Israel - Premier Tech
202,Pascal,Ackermann,Israel - Premier Tech
203,Joseph,Blackmore,Israel - Premier Tech
204,Guillaume,Boivin,Israel - Premier Tech
205,Matis,Louvel,Israel - Premier Tech
206,Alexey,Lutsenko,Israel - Premier Tech
207,Krists,Neilands,Israel - Premier Tech
208,Jake,Stewart,Israel - Premier Tech
211,Arnaud,De Lie,Lotto
212,Jenno,Berckmoes,Lotto
213,Jasper,De Buyst,Lotto
214,Jarrad,Drizners,Lotto
215,Sebastien,Grignard,Lotto
216,Eduardo,Sepulveda,Lotto
217,Lennert,Van Eetvelt,Lotto
218,Brent,Van Moer,Lotto
221,Tobias Halland,Johannessen,Uno-X Mobility
222,Jonas,Abrahamsen,Uno-X Mobility
223,Magnus,Cort,Uno-X Mobility
224,Stian,Fredheim,Uno-X Mobility
225,Markus,Hoelgaard,Uno-X Mobility
226,Anders Halland,Johannessen,Uno-X Mobility
227,Andreas,Leknessund,Uno-X Mobility
228,Soren,Waerenskjold,Uno-X Mobility
